word	frequency
on	163670
ma	139003
ei	116157
see	88145
sa	85299
ja	74688
et	71686
ta	67889
kui	49087
kas	41783
seda	38420
mis	34415
me	32251
pole	29113
mida	28181
oma	24140
ära	23655
aga	23520
siis	23505
nii	23271
te	23099
olen	22941
siin	22018
jah	21943
oli	21800
nad	20975
oled	20418
mu	20183
mind	19768
kõik	19760
selle	19209
midagi	19040
mul	17270
mulle	16509
kes	15712
minu	15700
nüüd	15539
ole	14669
kuidas	14075
sind	13698
mitte	13552
ka	13514
mina	13475
välja	13418
nagu	13319
tema	12735
su	12587
veel	12493
teie	11914
miks	11818
sulle	11718
või	11606
sinu	11115
meie	10892
tagasi	10795
väga	10734
seal	10579
küll	10364
sul	10278
teda	10169
üks	10134
hea	10114
saa	10039
sina	10037
kuid	9136
kus	9005
need	8748
siia	8407
oleks	8382
palju	7973
tule	7782
juba	7626
palun	7620
pärast	7608
ainult	7519
eest	7477
sellest	7402
lihtsalt	7368
tea	7363
teha	7239
olla	7199
hästi	7117
meil	6997
peale	6995
keegi	6963
ju	6914
kunagi	6796
oleme	6692
teid	6577
tead	6576
tere	6487
neid	6393
tahan	6341
mees	6299
tean	6254
olete	6228
talle	6200
tänan	6146
pean	6144
vaata	6044
tahad	6013
just	5904
isa	5757
maha	5676
olgu	5563
tal	5484
tee	5374
üle	5338
minema	5305
läbi	5234
oh	5195
kohe	5187
enam	5145
saab	5135
tuleb	5088
läheb	5058
olnud	5022
taha	4958
aru	4931
teile	4836
meid	4817
kaks	4809
täna	4803
asi	4788
teed	4750
vaja	4744
ema	4740
vastu	4698
koos	4656
arvan	4629
mine	4605
tõesti	4590
vaid	4589
võib	4573
üles	4521
kinni	4515
sisse	4514
sest	4513
olema	4501
enne	4482
kogu	4440
jumal	4394
isegi	4341
end	4331
raha	4310
aega	4304
anna	4289
minna	4212
muidugi	4210
ise	4144
saan	4132
öelda	4116
nende	4108
pead	4051
elu	3892
olid	3885
võta	3875
ikka	3874
teil	3873
siit	3846
alla	3837
korras	3804
ütles	3786
saad	3760
sinuga	3756
pea	3754
alati	3749
jaoks	3731
liiga	3731
valmis	3731
härra	3711
ning	3707
ütle	3670
rohkem	3659
lase	3619
lähme	3616
hr	3612
juurde	3599
lahti	3587
parem	3572
hei	3558
kuhu	3534
peaks	3504
saada	3488
head	3483
sinna	3473
peame	3436
minuga	3310
peab	3300
praegu	3295
teada	3266
suur	3243
nimi	3234
rääkida	3225
näha	3209
olin	3199
aeg	3176
ega	3160
selles	3159
temaga	3159
kohta	3119
ette	3098
vabandust	3079
sellega	3056
oota	3017
korda	3015
tore	3009
ühe	2990
kallis	2976
kurat	2939
lähen	2932
ütlesin	2925
näinud	2905
arvad	2903
õigus	2885
kindel	2873
edasi	2861
kõige	2843
eks	2831
naine	2828
meeldib	2814
koju	2804
meile	2775
väike	2727
iga	2724
surnud	2722
teen	2716
ilma	2712
võin	2681
ärge	2671
vist	2653
juhtus	2650
teeb	2630
aastat	2628
viga	2611
noh	2610
näed	2540
saanud	2524
räägi	2514
ennast	2499
kuni	2490
pane	2485
kolm	2483
las	2483
polnud	2471
kena	2468
kord	2464
poiss	2438
söör	2416
sir	2410
tegema	2402
kahju	2377
sain	2362
kokku	2360
inimesed	2356
mingi	2350
jälle	2348
kaasa	2328
asja	2322
kuule	2311
läks	2305
teinud	2302
tahab	2266
päris	2263
kindlasti	2261
tuli	2259
vana	2251
sama	2249
sõber	2248
võib-olla	2246
kuradi	2235
mr	2208
võid	2203
teeme	2170
poleks	2167
neile	2155
sai	2144
said	2133
ongi	2126
tähendab	2125
suuda	2122
kätte	2115
all	2097
mille	2084
enda	2079
milline	2077
tulen	2075
õige	2071
kedagi	2056
täpselt	2055
tegelikult	2050
terve	2044
kust	2040
endale	2027
päeva	2000
neil	1994
mõned	1991
homme	1988
ajal	1986
tulla	1981
ehk	1973
natuke	1969
saame	1968
kaua	1961
armastan	1954
toimub	1944
mingit	1938
teine	1938
äkki	1935
aitäh	1925
ütlen	1923
kõike	1919
selline	1913
töö	1911
teate	1911
usu	1898
kell	1885
keda	1874
auto	1872
tulge	1868
millest	1859
tüdruk	1859
juures	1854
poole	1845
nägin	1840
arvasin	1834
jäta	1822
ütlesid	1818
tegid	1810
tunne	1808
võtta	1802
hakkama	1770
üldse	1769
kuula	1769
sellele	1766
suurepärane	1765
tegi	1756
päev	1751
räägin	1747
järgi	1742
asjad	1731
viis	1727
vaadake	1719
kapten	1719
tunnen	1718
vabandage	1718
kuna	1714
hiljem	1701
hoia	1701
alles	1692
järele	1688
aidata	1675
õhtul	1673
ilus	1669
proua	1668
asju	1655
no	1645
näen	1644
tundub	1641
millal	1637
teist	1634
lähed	1628
võiks	1617
mõtlesin	1615
ah	1615
sel	1604
läinud	1600
ees	1594
eriti	1561
taga	1554
lõpeta	1551
ümber	1550
maja	1544
jää	1542
tööd	1537
aasta	1528
raske	1523
neist	1523
mõtlen	1522
vait	1511
sellepärast	1510
pidanud	1506
kiiresti	1498
varem	1496
mehed	1493
käia	1491
poolt	1490
loodan	1490
selge	1490
peal	1485
elus	1484
selleks	1478
võimalik	1475
aitab	1474
väljas	1466
täiesti	1463
tahtsin	1461
minust	1460
näe	1458
tegin	1457
sellist	1454
räägid	1441
sinust	1441
võtan	1441
esimene	1438
neetud	1434
sellel	1428
saaks	1427
hommikul	1422
pool	1421
dr	1416
osa	1414
tõsi	1413
teab	1406
võibolla	1401
ilmselt	1399
lapsed	1386
tahate	1374
jääb	1363
peaaegu	1360
uuesti	1359
oleksin	1355
minge	1355
kullake	1352
koht	1342
tohi	1336
meeldi	1336
maailma	1331
vahel	1323
kuulnud	1308
kelle	1307
sealt	1307
ringi	1299
mööda	1293
piisavalt	1285
ütleb	1280
paar	1279
parim	1279
aja	1271
surma	1271
lähe	1263
rääkima	1261
peaksid	1260
vähemalt	1258
eile	1258
üksi	1254
abi	1253
saama	1250
preili	1246
lugu	1241
uus	1241
laps	1240
oleksid	1239
dollarit	1239
sõbrad	1234
temast	1234
hakkab	1232
tahaks	1231
läheme	1226
kodus	1223
täis	1223
hetk	1223
viimane	1221
võime	1219
eemale	1214
andeks	1209
anda	1207
meest	1204
saate	1203
võtke	1203
samuti	1201
panna	1199
annan	1198
veidi	1192
poeg	1192
hull	1191
unusta	1188
poisid	1186
niimoodi	1184
teiega	1181
tappa	1179
pisut	1177
otse	1175
jama	1175
umbes	1170
maa	1161
minutit	1160
tehtud	1157
mõni	1151
varsti	1148
kõiki	1144
too	1141
peaksin	1137
öelnud	1135
muretse	1135
olemas	1134
tahtnud	1132
jääda	1127
politsei	1121
sees	1114
ööd	1114
näeme	1110
tuled	1109
neli	1107
peate	1105
tunned	1101
laske	1095
käes	1094
new	1092
inimene	1088
oodake	1087
mõte	1084
nime	1081
sõna	1072
vend	1071
paistab	1071
kuulsin	1070
jack	1070
tahaksin	1070
ainus	1064
päeval	1062
armas	1060
loomulikult	1059
tähtis	1054
hommikust	1049
teise	1048
mehe	1047
lõpuks	1045
probleem	1045
räägib	1044
iganes	1044
tõsiselt	1040
andke	1036
seega	1035
muud	1032
võimalus	1028
nalja	1026
inimesi	1024
doktor	1022
heaks	1021
leida	1020
tulin	1018
vaadata	1015
tulevad	1013
käsi	1013
mõista	1005
juhtub	1005
vaatame	1003
käed	1000
teadnud	998
tulnud	998
mäletad	994
meiega	992
vajan	988
pidi	987
tänu	983
ühel	981
kardan	977
kõigest	976
mõtle	976
mõtled	971
juhul	958
istu	958
kahe	957
halb	954
rääkis	951
järgmine	946
tulid	945
olge	942
naise	940
teete	939
kadunud	938
õnnelik	937
kohal	933
jooksul	932
ometi	932
okei	932
rääkinud	927
john	926
aita	924
näeb	923
uskuda	923
usun	923
muidu	923
jätta	922
süüa	917
igal	909
jumala	909
teised	906
kuus	906
ükskõik	904
lasta	904
võite	903
saavad	902
kuulda	901
harry	900
üsna	899
siiski	898
peaksime	897
ühte	892
onu	892
mõne	890
õnne	889
lihtne	888
suure	888
hakka	885
hoida	885
paremini	883
vaatan	882
vale	880
olevat	879
nimel	876
nägid	874
võtab	872
tundi	868
meist	867
kuigi	866
linna	861
tööle	858
mingeid	855
käest	855
persse	855
nõus	850
ütlema	848
uue	846
näete	846
teadsin	844
mõlemad	840
ikkagi	838
luba	838
käib	837
kohale	836
niisiis	836
kellegi	836
naljakas	836
jalga	835
iial	833
tahavad	832
vabanda	830
nemad	829
tõeline	829
pihta	827
saaksin	820
otsa	819
rahune	818
haiget	813
number	812
võtame	811
george	810
tehke	809
leidsin	808
milleks	805
teevad	805
silmad	804
frank	802
elada	798
teel	793
noor	793
pidin	792
nendega	790
paha	787
milles	786
nägu	785
jäänud	785
minuti	783
rahu	782
sobib	782
ruttu	781
miski	780
kao	778
uks	778
millega	778
halloo	777
oodata	776
vaatama	774
arva	771
võivad	771
kuuled	770
püha	769
soovid	769
pr	769
öö	767
võtaks	766
issand	766
magama	762
kellega	757
i	757
ok	755
üleval	753
väärt	752
ütled	752
valesti	751
tunni	746
pange	746
huvitav	746
näiteks	742
hetkel	741
tubli	741
silmas	740
soovite	738
suri	735
nägemist	734
panen	733
räägime	732
vahele	732
kasutada	729
võttis	728
ootab	728
hakkan	728
hüvasti	727
küsimus	725
jäi	725
elab	725
andis	725
öelge	725
aastal	720
kohvi	720
tahtis	718
oska	718
mängida	717
jeesus	717
perse	716
moodi	716
tähelepanu	714
kõigile	714
õde	714
arvate	711
rääkisin	711
viia	707
kuidagi	706
pealt	706
jaa	706
olime	705
ühtegi	705
toon	705
isand	704
sellise	703
maailm	700
rahule	700
relv	699
hoopis	699
soovin	698
mõelda	698
tüüp	697
saime	696
hilja	695
naist	694
kutt	693
teame	691
näita	691
proovi	690
süüdi	688
meelde	688
vihkan	688
vaba	687
haige	684
lähedal	683
uut	683
mõttes	681
kohtuda	679
kuu	679
a	678
hakkame	678
osta	677
annab	676
loll	676
mõelnud	676
öösel	670
kiire	669
