word	frequency
я	160492
не	140148
что	98490
в	95570
и	91614
ты	83065
это	78828
на	54518
с	46152
он	42850
вы	42782
мы	37686
как	37672
а	37218
у	35730
мне	35692
меня	35009
да	33590
нет	32415
так	28444
но	28242
его	24825
тебя	23006
все	22992
о	20974
за	20251
если	19400
тебе	18923
бы	18771
они	18604
она	18574
же	16585
к	15311
вас	14919
из	14864
здесь	14800
ну	13936
есть	13726
только	12985
вот	12928
по	12844
чтобы	12704
для	12309
нас	12302
когда	12170
вам	11990
хорошо	11857
всё	11731
то	11420
знаю	11336
был	11323
может	11139
от	10913
просто	10792
кто	10427
там	10410
было	10404
их	10279
будет	10101
очень	9898
где	9503
уже	9115
нам	8735
быть	8708
еще	8651
ничего	8562
могу	8501
хочу	8470
мой	8470
почему	8467
сейчас	8383
спасибо	8356
надо	8060
чем	7931
или	7916
до	7858
этого	7569
теперь	7551
ее	6961
сэр	6638
этот	6568
этом	6555
давай	6545
ему	6429
раз	6271
знаешь	6237
со	6186
больше	6087
нужно	6078
ли	5840
ещё	5804
была	5720
тоже	5715
ладно	5705
думаю	5660
сказал	5659
ни	5584
её	5527
конечно	5455
пока	5432
сюда	5418
время	5417
тут	5395
даже	5394
себя	5358
никогда	5340
мистер	5297
хочешь	5261
должен	5255
него	5207
один	4978
эй	4964
тогда	4936
моя	4773
лучше	4726
можно	4718
сегодня	4675
привет	4548
пожалуйста	4526
тобой	4522
что-то	4491
были	4431
об	4388
правда	4312
мной	4304
потому	4290
дело	4226
сказать	4169
того	3947
без	3928
всегда	3900
буду	3854
через	3825
значит	3768
эти	3763
день	3738
лет	3661
ведь	3574
делать	3563
должны	3543
ним	3538
такой	3533
хотел	3503
во	3496
всего	3452
чего	3442
можешь	3435
них	3422
им	3407
такое	3397
много	3365
куда	3355
себе	3306
порядке	3299
всех	3295
жизнь	3287
сделать	3278
ей	3276
потом	3272
боже	3258
человек	3258
слишком	3210
зачем	3148
эту	3138
два	3063
твой	3055
том	3040
этой	3028
ней	3020
знаете	2992
этим	2975
деньги	2972
после	2928
сколько	2875
видел	2866
мои	2860
сам	2834
назад	2808
иди	2799
никто	2773
точно	2767
друг	2759
люди	2756
кажется	2738
мама	2715
под	2699
эта	2684
отсюда	2681
мог	2670
немного	2649
жизни	2642
моей	2606
который	2581
случилось	2561
какой	2531
люблю	2530
нравится	2515
три	2500
думаешь	2495
домой	2485
прошу	2478
свою	2474
хотите	2447
отец	2416
парень	2413
возможно	2413
всем	2406
черт	2403
будем	2383
вами	2382
отлично	2318
понимаю	2314
дома	2313
пошли	2297
тот	2288
